Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1003	2500	0	2193	307	0	0	0.8772	
1004	2500	0	2196	304	0	0	0.8784	
1005	2500	0	2205	295	0	0	0.882	
1006	2500	0	2207	293	0	0	0.8828	
1007	2500	0	2208	292	0	0	0.8832	
1008	2500	0	2213	287	0	0	0.8852	
1009	2500	0	2213	287	0	0	0.8852	
1010	2500	0	2214	286	0	0	0.8856	
1011	2500	0	2215	285	0	0	0.886	
1012	2500	0	2216	284	0	0	0.8864	
1013	2500	0	2217	283	0	0	0.8868	
1014	2500	0	2219	281	0	0	0.8876	
1015	2500	0	2224	276	0	0	0.8896	
1016	2500	0	2225	275	0	0	0.89	
1017	2500	0	2226	274	0	0	0.8904	
1018	2500	0	2228	272	0	0	0.8912	
1019	2500	0	2228	272	0	0	0.8912	
1020	2500	0	2228	272	0	0	0.8912	
1021	2500	0	2229	271	0	0	0.8916	
1022	2500	0	2230	270	0	0	0.892	
1023	2500	0	2234	266	0	0	0.8936	
1024	2500	0	2235	265	0	0	0.894	
1025	2500	0	2237	263	0	0	0.8948	
1026	2500	0	2238	262	0	0	0.8952	
1027	2500	0	2239	261	0	0	0.8956	
1028	2500	0	2242	258	0	0	0.8968	
1029	2500	0	2245	255	0	0	0.898	
1030	2500	0	2245	255	0	0	0.898	
1031	2500	0	2246	254	0	0	0.8984	
1032	2500	0	2248	252	0	0	0.8992	
1033	2500	0	2249	251	0	0	0.8996	
1034	2500	0	2249	251	0	0	0.8996	
1035	2500	0	2251	249	0	0	0.9004	
1036	2500	0	2253	247	0	0	0.9012	
1037	2500	0	2255	245	0	0	0.902	
1038	2500	0	2257	243	0	0	0.9028	
1039	2500	0	2258	242	0	0	0.9032	
1040	2500	0	2259	241	0	0	0.9036	
1041	2500	0	2259	241	0	0	0.9036	
1042	2500	0	2261	239	0	0	0.9044	
1043	2500	0	2261	239	0	0	0.9044	
1044	2500	0	2262	238	0	0	0.9048	
1045	2500	0	2263	237	0	0	0.9052	
1046	2500	0	2264	236	0	0	0.9056	
1047	2500	0	2266	234	0	0	0.9064	
1048	2500	0	2267	233	0	0	0.9068	
1049	2500	0	2268	232	0	0	0.9072	
1050	2500	0	2270	230	0	0	0.908	
1051	2500	0	2270	230	0	0	0.908	
1052	2500	0	2272	228	0	0	0.9088	
1053	2500	0	2272	228	0	0	0.9088	
1054	2500	0	2272	228	0	0	0.9088	
1055	2500	0	2273	227	0	0	0.9092	
1056	2500	0	2274	226	0	0	0.9096	
1057	2500	0	2275	225	0	0	0.91	
